	False Positive Rate	True Positive Rate	Threshold
0	0.0	0.0	inf
1	0.0	0.0125	0.9997061344305962
2	0.0	0.2375	0.9925569902854721
3	0.045454545454545456	0.2375	0.9915402482819041
4	0.045454545454545456	0.2875	0.9882190791516965
5	0.09090909090909091	0.2875	0.985938484628347
6	0.09090909090909091	0.3	0.984896186179933
7	0.11363636363636363	0.3	0.9847046067154629
8	0.11363636363636363	0.5875	0.7773595246317307
9	0.13636363636363635	0.5875	0.7760994677029441
10	0.13636363636363635	0.725	0.691876301450292
11	0.1590909090909091	0.725	0.671539942827093
12	0.1590909090909091	0.75	0.6499788897365449
13	0.18181818181818182	0.75	0.6339645829937902
14	0.18181818181818182	0.7875	0.614244908199107
15	0.25	0.7875	0.5842847795554225
16	0.25	0.825	0.4966453226685851
17	0.2727272727272727	0.825	0.48699026547152857
18	0.2727272727272727	0.875	0.25639109843986796
19	0.36363636363636365	0.875	0.18168292351386967
20	0.36363636363636365	0.8875	0.1480697154518218
21	0.38636363636363635	0.8875	0.13960811903903966
22	0.38636363636363635	0.9	0.13852488689830997
23	0.4090909090909091	0.9	0.1280460972081245
24	0.4090909090909091	0.9125	0.12393466377071813
25	0.4318181818181818	0.9125	0.11026997180261906
26	0.4318181818181818	0.925	0.1005086061175002
27	0.4772727272727273	0.925	0.09052135291175907
28	0.4772727272727273	0.9375	0.08853257433035976
29	0.5454545454545454	0.9375	0.047312075927343315
30	0.5454545454545454	0.95	0.03279430368091896
31	0.6136363636363636	0.95	0.026976504112602506
32	0.6136363636363636	0.9625	0.02312779155904398
33	0.6590909090909091	0.9625	0.022576534331116394
34	0.6590909090909091	0.975	0.020467976050222193
35	0.8181818181818182	0.975	0.006275174063400129
36	0.8181818181818182	0.9875	0.005714045637821045
37	0.8636363636363636	0.9875	0.0029598706711661013
38	0.8636363636363636	1.0	0.0020659901172341375
39	1.0	1.0	1.1768567739283418e-05
