	False Positive Rate	True Positive Rate	Threshold
0	0.0	0.0	inf
1	0.0	0.010869565217391304	0.9996606422042363
2	0.0	0.03260869565217391	0.9990843362926406
3	0.005190311418685121	0.03260869565217391	0.9949040376057748
4	0.005190311418685121	0.14130434782608695	0.9864095229746376
5	0.006920415224913495	0.14130434782608695	0.9835191085584618
6	0.006920415224913495	0.17391304347826086	0.9778152698652061
7	0.00865051903114187	0.17391304347826086	0.97752443667064
8	0.00865051903114187	0.1956521739130435	0.9732841180917758
9	0.010380622837370242	0.1956521739130435	0.9705815331944899
10	0.010380622837370242	0.20652173913043478	0.9667614735868882
11	0.012110726643598616	0.20652173913043478	0.9660621295771009
12	0.012110726643598616	0.21739130434782608	0.965361338623224
13	0.01730103806228374	0.21739130434782608	0.9624915816646383
14	0.01730103806228374	0.2391304347826087	0.9599940712186629
15	0.031141868512110725	0.2391304347826087	0.9447175025958201
16	0.031141868512110725	0.25	0.9445226047919926
17	0.0328719723183391	0.25	0.9405376878464659
18	0.0328719723183391	0.2826086956521739	0.9296910047579984
19	0.03633217993079585	0.2826086956521739	0.9266895862507718
20	0.03633217993079585	0.29347826086956524	0.9263141413136852
21	0.039792387543252594	0.29347826086956524	0.9060076595836729
22	0.039792387543252594	0.30434782608695654	0.9050352331557795
23	0.04325259515570934	0.30434782608695654	0.9036838269272082
24	0.04325259515570934	0.31521739130434784	0.9025753892064917
25	0.06401384083044982	0.31521739130434784	0.8415211578438151
26	0.06401384083044982	0.32608695652173914	0.8383219080127718
27	0.06920415224913495	0.32608695652173914	0.8237279074088016
28	0.06920415224913495	0.33695652173913043	0.8234528267585169
29	0.07093425605536333	0.33695652173913043	0.8229363186326725
30	0.07093425605536333	0.34782608695652173	0.8196455560480842
31	0.08650519031141868	0.34782608695652173	0.7394509945239064
32	0.08650519031141868	0.358695652173913	0.7251230201998015
33	0.08823529411764706	0.358695652173913	0.7108443217403337
34	0.08823529411764706	0.3695652173913043	0.7032085688941723
35	0.09515570934256055	0.3695652173913043	0.6857562948887136
36	0.09515570934256055	0.391304347826087	0.6795777016962551
37	0.09688581314878893	0.391304347826087	0.6794115211554252
38	0.09688581314878893	0.40217391304347827	0.6721866867864007
39	0.12283737024221453	0.40217391304347827	0.5534356398654499
40	0.12283737024221453	0.41304347826086957	0.5529627025699921
41	0.14013840830449828	0.41304347826086957	0.5297277824089618
42	0.14013840830449828	0.42391304347826086	0.5218304981852987
43	0.15051903114186851	0.42391304347826086	0.477767830763532
44	0.15051903114186851	0.43478260869565216	0.4700343238532739
45	0.1522491349480969	0.43478260869565216	0.46130235237189177
46	0.1522491349480969	0.44565217391304346	0.45485079271716394
47	0.16089965397923875	0.44565217391304346	0.4372326330456914
48	0.16089965397923875	0.4673913043478261	0.434057679566642
49	0.16262975778546712	0.4673913043478261	0.4326282473385789
50	0.16262975778546712	0.4782608695652174	0.4250242815238051
51	0.18339100346020762	0.4782608695652174	0.361556044129896
52	0.18339100346020762	0.4891304347826087	0.3490414982860087
53	0.2041522491349481	0.4891304347826087	0.3111271257542849
54	0.2041522491349481	0.5	0.3100020083373542
55	0.20588235294117646	0.5	0.3076918385942324
56	0.20588235294117646	0.5108695652173914	0.3034620495528604
57	0.21280276816608998	0.5108695652173914	0.28855797323703397
58	0.21280276816608998	0.5217391304347826	0.28528245507897493
59	0.21453287197231835	0.5217391304347826	0.2832626424080967
60	0.21453287197231835	0.5434782608695652	0.27966280090673623
61	0.2179930795847751	0.5434782608695652	0.26525330610772146
62	0.2179930795847751	0.5543478260869565	0.26281129583124346
63	0.24567474048442905	0.5543478260869565	0.22468508543134305
64	0.24567474048442905	0.5652173913043478	0.222555823493992
65	0.2491349480968858	0.5652173913043478	0.22003483767249812
66	0.2491349480968858	0.5760869565217391	0.21928099648683325
67	0.2508650519031142	0.5760869565217391	0.21899900950835077
68	0.2508650519031142	0.5978260869565217	0.2117174831876572
69	0.25259515570934254	0.5978260869565217	0.20197399262058285
70	0.25259515570934254	0.6086956521739131	0.20056043493488623
71	0.2820069204152249	0.6086956521739131	0.15598055372627867
72	0.2820069204152249	0.6304347826086957	0.15232727202347363
73	0.31314878892733566	0.6304347826086957	0.1244365976624721
74	0.31314878892733566	0.6521739130434783	0.121754392490019
75	0.31833910034602075	0.6521739130434783	0.11965650589438881
76	0.31833910034602075	0.6630434782608695	0.11943227850164893
77	0.3217993079584775	0.6630434782608695	0.11521596805188047
78	0.3217993079584775	0.6739130434782609	0.11402306377731153
79	0.3391003460207612	0.6739130434782609	0.10613984992898633
80	0.3391003460207612	0.6847826086956522	0.10611904605527386
81	0.35121107266435986	0.6847826086956522	0.09154653531959148
82	0.35121107266435986	0.717391304347826	0.08286372511793609
83	0.3615916955017301	0.717391304347826	0.07814605129551955
84	0.3615916955017301	0.7282608695652174	0.07769747925321364
85	0.38581314878892736	0.7282608695652174	0.06762673030606281
86	0.38581314878892736	0.7391304347826086	0.06586960026356906
87	0.41695501730103807	0.7391304347826086	0.05852712512898781
88	0.41695501730103807	0.75	0.05806554154912704
89	0.4204152249134948	0.75	0.05751611299308491
90	0.4204152249134948	0.7608695652173914	0.05741706362427417
91	0.4429065743944637	0.7608695652173914	0.048536475424434324
92	0.4429065743944637	0.7717391304347826	0.048443928740257186
93	0.444636678200692	0.7717391304347826	0.04730954580606689
94	0.444636678200692	0.782608695652174	0.047277283620574685
95	0.45501730103806226	0.782608695652174	0.04566010582009608
96	0.45501730103806226	0.7934782608695652	0.04460451575703132
97	0.4602076124567474	0.7934782608695652	0.04377695527751743
