Actual Deterioration	Estimated Deterioration	Counts
0.1896551724137931	0.0	58
0.192	0.1	125
0.24719101123595505	0.2	178
0.3469387755102041	0.3	147
0.3488372093023256	0.4	86
0.5116279069767442	0.5	43
0.6086956521739131	0.6	23
0.7333333333333333	0.7	15
0.8	0.8	5
0.19230769230769232	0.0	52
0.1953125	0.1	128
0.3	0.2	180
0.2535211267605634	0.3	142
0.35789473684210527	0.4	95
0.5476190476190477	0.5	42
0.6521739130434783	0.6	23
0.8	0.7	15
0.6666666666666666	0.8	3
0.16363636363636364	0.0	55
0.20175438596491227	0.1	114
0.21348314606741572	0.2	178
0.3609467455621302	0.3	169
0.37349397590361444	0.4	83
0.5348837209302325	0.5	43
0.47058823529411764	0.6	17
0.8	0.7	10
1.0	0.8	7
0.75	0.9	4
0.1956521739130435	0.0	46
0.1791044776119403	0.1	134
0.23204419889502761	0.2	181
0.3419354838709677	0.3	155
0.4457831325301205	0.4	83
0.4418604651162791	0.5	43
0.7058823529411765	0.6	17
0.6428571428571429	0.7	14
0.8571428571428571	0.8	7
0.2608695652173913	0.0	46
0.14383561643835616	0.1	146
0.24848484848484848	0.2	165
0.34394904458598724	0.3	157
0.4235294117647059	0.4	85
0.4473684210526316	0.5	38
0.55	0.6	20
0.8	0.7	15
1.0	0.8	6
0.5	0.9	2
0.16	0.0	75
0.2198581560283688	0.1	141
0.27218934911242604	0.2	169
0.3028169014084507	0.3	142
0.38461538461538464	0.4	78
0.5483870967741935	0.5	31
0.6521739130434783	0.6	23
0.7857142857142857	0.7	14
0.8333333333333334	0.8	6
1.0	0.9	1
0.1702127659574468	0.0	47
0.1885245901639344	0.1	122
0.25903614457831325	0.2	166
0.32075471698113206	0.3	159
0.32989690721649484	0.4	97
0.5217391304347826	0.5	46
0.65	0.6	20
0.7647058823529411	0.7	17
0.6666666666666666	0.8	6
0.225	0.0	40
0.15079365079365079	0.1	126
0.28125	0.2	160
0.3131868131868132	0.3	182
0.35714285714285715	0.4	84
0.4888888888888889	0.5	45
0.5714285714285714	0.6	21
0.7894736842105263	0.7	19
0.6666666666666666	0.8	3
0.1875	0.0	48
0.1773049645390071	0.1	141
0.25316455696202533	0.2	158
0.3248407643312102	0.3	157
0.4065934065934066	0.4	91
0.46511627906976744	0.5	43
0.6153846153846154	0.6	26
0.7777777777777778	0.7	9
0.8571428571428571	0.8	7
0.2	0.0	45
0.18584070796460178	0.1	113
0.23353293413173654	0.2	167
0.31901840490797545	0.3	163
0.36	0.4	100
0.4897959183673469	0.5	49
0.5454545454545454	0.6	22
0.8333333333333334	0.7	12
0.875	0.8	8
1.0	0.9	1
0.1956521739130435	0.0	46
0.19658119658119658	0.1	117
0.2808988764044944	0.2	178
0.3006134969325153	0.3	163
0.3191489361702128	0.4	94
0.5428571428571428	0.5	35
0.5384615384615384	0.6	26
0.7272727272727273	0.7	11
0.9	0.8	10
0.1590909090909091	0.0	44
0.20149253731343283	0.1	134
0.28160919540229884	0.2	174
0.2866666666666667	0.3	150
0.37373737373737376	0.4	99
0.4878048780487805	0.5	41
0.5714285714285714	0.6	14
0.7692307692307693	0.7	13
0.9	0.8	10
1.0	0.9	1
0.19117647058823528	0.0	68
0.14173228346456693	0.1	127
0.30319148936170215	0.2	188
0.32142857142857145	0.3	140
0.34523809523809523	0.4	84
0.5277777777777778	0.5	36
0.7142857142857143	0.6	21
1.0	0.7	11
0.75	0.8	4
1.0	0.9	1
0.21568627450980393	0.0	51
0.16546762589928057	0.1	139
0.2958579881656805	0.2	169
0.2932330827067669	0.3	133
0.3333333333333333	0.4	96
0.5434782608695652	0.5	46
0.6086956521739131	0.6	23
0.6153846153846154	0.7	13
1.0	0.8	8
0.5	0.9	2
