n_neighbors	distance	std	sepsis_auc	sepsis_recall	sepsis_precision
1	1.8847431871913238	0.5888243498276907	0.5516379094773693	0.7311827956989247	0.7157894736842105
5	2.16993056490058	0.6175343955977283	0.6692923230807701	0.7741935483870968	0.7422680412371134
10	2.3411461458569884	0.6568092834378795	0.6825456364091023	0.8064516129032258	0.7653061224489796
15	2.4540780278681105	0.6889765430574878	0.6604151037759441	0.9032258064516129	0.75
20	2.5387195745885984	0.7127309619517431	0.6904226056514129	0.9032258064516129	0.75
25	2.607204221051329	0.7321716203516182	0.6985496374093524	0.9032258064516129	0.7241379310344828
30	2.665087097468688	0.7483716486403904	0.7119279819954989	0.9139784946236559	0.7327586206896551
50	2.837742136634771	0.7961802494025179	0.7456864216054013	0.967741935483871	0.72
100	3.109428230366525	0.8527304755360935	0.7549387346836709	1.0	0.6888888888888889
200	3.4521744086142467	0.8864649316734587	0.738434608652163	1.0	0.6838235294117647
