	Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
63	GO_Biological_Process_2023	Regulation Of Intestinal Cholesterol Absorption (GO:0030300)	2/6	0.00014528937987106567	0.0013813667193895	0	0	163.38524590163934	1443.799976685783	APOA1;APOA4
64	GO_Biological_Process_2023	Positive Regulation Of Triglyceride Catabolic Process (GO:0010898)	2/6	0.00014528937987106567	0.0013813667193895	0	0	163.38524590163934	1443.799976685783	APOC2;APOA4
65	GO_Biological_Process_2023	Negative Regulation Of Endocytosis (GO:0045806)	3/33	0.00015191135654470502	0.0014224427021913	0	0	33.178333333333335	291.710986520245	APOC2;APOC1;APOC3
66	GO_Biological_Process_2023	Very-Low-Density Lipoprotein Particle Remodeling (GO:0034372)	2/7	0.00020299241191888755	0.0017921330080838	0	0	130.7016393442623	1111.270032350074	APOC2;LCAT
67	GO_Biological_Process_2023	Positive Regulation Of Plasminogen Activation (GO:0010756)	2/7	0.00020299241191888755	0.0017921330080838	0	0	130.7016393442623	1111.270032350074	CLEC3B;F12
68	GO_Biological_Process_2023	Positive Regulation Of Triglyceride Lipase Activity (GO:0061365)	2/7	0.00020299241191888755	0.0017921330080838	0	0	130.7016393442623	1111.270032350074	APOC2;APOH
69	GO_Biological_Process_2023	Regulation Of Cdc42 Protein Signal Transduction (GO:0032489)	2/7	0.00020299241191888755	0.0017921330080838	0	0	130.7016393442623	1111.270032350074	APOA1;APOC3
70	GO_Biological_Process_2023	Positive Regulation Of Lipid Biosynthetic Process (GO:0046889)	3/39	0.00025105404353398323	0.0021852309704788	0	0	27.64027777777778	229.13354471098393	APOC2;APOA4;GPLD1
71	GO_Biological_Process_2023	Synapse Pruning (GO:0098883)	2/8	0.00027010736180115496	0.0022866623231933	0	0	108.91256830601093	894.9009243287231	C1QB;C3
72	GO_Biological_Process_2023	Response To Misfolded Protein (GO:0051788)	2/8	0.00027010736180115496	0.0022866623231933	0	0	108.91256830601093	894.9009243287231	F12;CLU
73	GO_Biological_Process_2023	Negative Regulation Of Proteolysis (GO:0045861)	3/41	0.0002915261016195167	0.0024346369027143	0	0	26.182894736842105	213.1387392007622	ECM1;F2;KNG1
74	GO_Biological_Process_2023	Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260)	3/43	0.0003359871776924858	0.002768534344186	0	0	24.87125	198.93114017307255	C3;VTN;CLU
75	GO_Biological_Process_2023	Regulation Of Coagulation (GO:0050818)	2/10	0.0004323414002614042	0.0034664796660823	0	0	81.67622950819673	632.6881685393935	PROC;F2
76	GO_Biological_Process_2023	Negative Regulation Of Hydrolase Activity (GO:0051346)	3/47	0.0004375168510589349	0.0034664796660823	0	0	22.605681818181814	174.8412800262167	ECM1;APOA2;SERPINA5
77	GO_Biological_Process_2023	Regulation Of Wound Healing (GO:0061041)	3/47	0.0004375168510589349	0.0034664796660823	0	0	22.605681818181814	174.8412800262167	APCS;VTN;F2
78	GO_Biological_Process_2023	Positive Regulation Of Hemostasis (GO:1900048)	2/11	0.0005273453296094256	0.0040737426712328	0	0	72.59744990892531	547.9405021349086	F12;F2
79	GO_Biological_Process_2023	Positive Regulation Of Coagulation (GO:0050820)	2/11	0.0005273453296094256	0.0040737426712328	0	0	72.59744990892531	547.9405021349086	F12;F2
80	GO_Biological_Process_2023	Negative Regulation Of Response To Stimulus (GO:0048585)	3/52	0.0005896636429107236	0.004498915201467	0	0	20.293877551020408	150.90442681679065	IGFBP3;APOA1;CLU
81	GO_Biological_Process_2023	Negative Regulation Of Metabolic Process (GO:0009892)	3/53	0.0006236449195160713	0.0045916008206411	0	0	19.887	146.7646557947637	APOC2;APOC1;APOC3
82	GO_Biological_Process_2023	Fibrinolysis (GO:0042730)	2/12	0.0006315308572079307	0.0045916008206411	0	0	65.3344262295082	481.3424836925602	PLG;F2
83	GO_Biological_Process_2023	Low-Density Lipoprotein Particle Remodeling (GO:0034374)	2/12	0.0006315308572079307	0.0045916008206411	0	0	65.3344262295082	481.3424836925602	APOA2;APOB
84	GO_Biological_Process_2023	Organophosphate Catabolic Process (GO:0046434)	2/12	0.0006315308572079307	0.0045916008206411	0	0	65.3344262295082	481.3424836925602	PON1;APOA2
85	GO_Biological_Process_2023	Regulation Of Lipid Metabolic Process (GO:0019216)	3/54	0.0006588525835153096	0.0047345453094472	0	0	19.49607843137255	142.80898400941996	APOC2;APOC1;APOC3
86	GO_Biological_Process_2023	Positive Regulation Of Fatty Acid Biosynthetic Process (GO:0045723)	2/13	0.000744841049273835	0.0052909398672555	0	0	59.39195230998509	427.7610171128168	APOC2;APOA4
87	GO_Biological_Process_2023	Regulation Of Phagocytosis (GO:0050764)	3/58	0.0008122998449177647	0.0057045602745361	0	0	18.074545454545454	128.6119770329774	AHSG;APOA2;APOA1
88	GO_Biological_Process_2023	Negative Regulation Of Fatty Acid Biosynthetic Process (GO:0045717)	2/14	0.0008672192285085808	0.0058894668485527	0	0	54.439890710382514	383.81313847540514	APOC1;APOC3
