	False Positive Rate	True Positive Rate	Threshold
0	0.0	0.0	inf
1	0.004098360655737705	0.0	0.9996660661927641
2	0.02459016393442623	0.0	0.8801802653621423
3	0.02459016393442623	0.05	0.8702435271684533
4	0.03278688524590164	0.05	0.8624622433311174
5	0.03278688524590164	0.1	0.8475879452722003
6	0.040983606557377046	0.1	0.8221904647973156
7	0.040983606557377046	0.15	0.8078570497406568
8	0.045081967213114756	0.15	0.803223568273465
9	0.045081967213114756	0.25	0.7981843296997329
10	0.05737704918032787	0.25	0.7837165212850308
11	0.05737704918032787	0.3	0.763598149441086
12	0.10655737704918032	0.3	0.6266193146109088
13	0.10655737704918032	0.35	0.6209601969472446
14	0.12295081967213115	0.35	0.5895077255308098
15	0.12295081967213115	0.4	0.5863351195283184
16	0.13524590163934427	0.4	0.5476722977738147
17	0.13524590163934427	0.45	0.5471288930840683
18	0.4139344262295082	0.45	0.1806167950735481
19	0.4139344262295082	0.5	0.17362226737159206
20	0.4672131147540984	0.5	0.1326766136289432
21	0.4672131147540984	0.55	0.12661960485552745
22	0.5614754098360656	0.55	0.08141801237202907
23	0.5614754098360656	0.6	0.08047105504175081
24	0.5860655737704918	0.6	0.07091279761393351
25	0.5860655737704918	0.65	0.0703033490697622
26	0.6147540983606558	0.65	0.05620088716965777
27	0.6147540983606558	0.7	0.056105161724234735
28	0.680327868852459	0.7	0.04319661116683529
29	0.680327868852459	0.75	0.04293189510877429
30	0.7540983606557377	0.75	0.020766734641564647
31	0.7540983606557377	0.8	0.01899732203558538
32	0.7622950819672131	0.8	0.013797292348903248
33	0.7622950819672131	0.85	0.012471898068026628
34	0.7991803278688525	0.85	0.009556458335891783
35	0.7991803278688525	0.9	0.009383568994777297
36	0.8319672131147541	0.9	0.0032950437900149724
37	0.8319672131147541	0.95	0.003080234213809908
38	0.9098360655737705	0.95	0.000882308151716399
39	0.9098360655737705	1.0	0.0007664604621850731
40	1.0	1.0	1.02297555818099e-06
