	False Positive Rate	True Positive Rate	Threshold
0	0.0	0.0	inf
1	0.004629629629629629	0.0	0.9823791221614419
2	0.004629629629629629	0.020833333333333332	0.9783945566514287
3	0.018518518518518517	0.020833333333333332	0.9750694016048284
4	0.018518518518518517	0.041666666666666664	0.9677771408077723
5	0.023148148148148147	0.041666666666666664	0.9622949427910575
6	0.023148148148148147	0.08333333333333333	0.9333157810065205
7	0.037037037037037035	0.08333333333333333	0.9196598603352915
8	0.037037037037037035	0.125	0.9152250775445491
9	0.041666666666666664	0.125	0.9137658673386689
10	0.041666666666666664	0.16666666666666666	0.8910586118669178
11	0.05555555555555555	0.16666666666666666	0.8772970159465449
12	0.05555555555555555	0.1875	0.8746891220618109
13	0.06018518518518518	0.1875	0.8613907873347051
14	0.06018518518518518	0.2708333333333333	0.819131530218353
15	0.07407407407407407	0.2708333333333333	0.7995483235188182
16	0.07407407407407407	0.2916666666666667	0.7915393974084383
17	0.1111111111111111	0.2916666666666667	0.7457099624840535
18	0.1111111111111111	0.3125	0.7428728112403644
19	0.14814814814814814	0.3125	0.7068885401808305
20	0.14814814814814814	0.3333333333333333	0.7023542862102482
21	0.1712962962962963	0.3333333333333333	0.6917121149011225
22	0.1712962962962963	0.3541666666666667	0.6915303140479908
23	0.17592592592592593	0.3541666666666667	0.6606816491981965
24	0.17592592592592593	0.375	0.6578048409065285
25	0.18055555555555555	0.375	0.6562393957044951
26	0.18055555555555555	0.3958333333333333	0.653588680950033
27	0.18981481481481483	0.3958333333333333	0.6308872613494121
28	0.18981481481481483	0.4375	0.6231554671934475
29	0.19444444444444445	0.4375	0.6146688737248444
30	0.19444444444444445	0.4583333333333333	0.6021602374550662
31	0.21296296296296297	0.4583333333333333	0.5896639146380352
32	0.21296296296296297	0.5208333333333334	0.5719895887488976
33	0.25462962962962965	0.5208333333333334	0.5364042169057349
34	0.25462962962962965	0.5416666666666666	0.5292852796903297
35	0.28703703703703703	0.5416666666666666	0.49955914493535386
36	0.28703703703703703	0.5625	0.4981144607416433
37	0.35648148148148145	0.5625	0.41760848413903723
38	0.35648148148148145	0.5833333333333334	0.4138353565502749
39	0.37962962962962965	0.5833333333333334	0.39064817362730636
40	0.37962962962962965	0.6041666666666666	0.3879544636002266
41	0.39351851851851855	0.6041666666666666	0.3804647365051064
42	0.39351851851851855	0.625	0.3729116666550833
43	0.4027777777777778	0.625	0.36789196108113364
44	0.4027777777777778	0.6666666666666666	0.3647356648209194
45	0.48148148148148145	0.6666666666666666	0.30582975685223496
46	0.48148148148148145	0.6875	0.3036508226655522
47	0.4861111111111111	0.6875	0.3018062012295115
48	0.4861111111111111	0.7083333333333334	0.2965670871864539
49	0.5092592592592593	0.7083333333333334	0.28839683356598145
50	0.5092592592592593	0.7291666666666666	0.2875787028179061
51	0.5277777777777778	0.7291666666666666	0.2743056322044025
52	0.5277777777777778	0.75	0.2742448470086392
53	0.5555555555555556	0.75	0.25696464495082416
54	0.5555555555555556	0.7708333333333334	0.25642824953987203
55	0.6296296296296297	0.7708333333333334	0.21770370311913148
56	0.6296296296296297	0.7916666666666666	0.21538762966286426
57	0.6481481481481481	0.7916666666666666	0.2107393498515349
58	0.6481481481481481	0.8125	0.20929640213228248
59	0.6574074074074074	0.8125	0.20384564310490866
60	0.6574074074074074	0.8333333333333334	0.2033696203775317
61	0.6944444444444444	0.8333333333333334	0.1883965496477231
62	0.6944444444444444	0.8541666666666666	0.18361393264015075
63	0.6990740740740741	0.8541666666666666	0.18335916138588554
64	0.6990740740740741	0.875	0.1781756973599071
65	0.7685185185185185	0.875	0.1541994331292538
66	0.7685185185185185	0.8958333333333334	0.15182949728000286
67	0.7731481481481481	0.8958333333333334	0.14964232955890314
68	0.7731481481481481	0.9166666666666666	0.14954197011233375
69	0.8240740740740741	0.9166666666666666	0.12384873638093666
70	0.8240740740740741	0.9375	0.1216720231429925
71	0.9120370370370371	0.9375	0.08318441729239306
72	0.9120370370370371	0.9583333333333334	0.07867258678127004
73	0.9259259259259259	0.9583333333333334	0.06923673169015708
74	0.9259259259259259	0.9791666666666666	0.0689059449158129
75	0.9907407407407407	0.9791666666666666	0.033849128628597645
76	0.9907407407407407	1.0	0.02910890694042647
77	1.0	1.0	0.013473999999036285
