Actual Sepsis	Estimated Sepsis	Counts
0.0	0.0	1
0.4	0.1	5
0.15384615384615385	0.2	13
0.3333333333333333	0.3	33
0.3333333333333333	0.4	45
0.6407766990291263	0.5	103
0.6226415094339622	0.6	106
0.7443609022556391	0.7	133
0.8053097345132744	0.8	113
0.8588235294117647	0.9	85
0.9069767441860465	1.0	43
0.0	0.0	1
0.0	0.1	1
0.2857142857142857	0.2	14
0.25925925925925924	0.3	27
0.4666666666666667	0.4	45
0.5392156862745098	0.5	102
0.5825242718446602	0.6	103
0.782258064516129	0.7	124
0.7833333333333333	0.8	120
0.8444444444444444	0.9	90
0.9433962264150944	1.0	53
0.0	0.0	1
0.25	0.1	4
0.1875	0.2	16
0.2571428571428571	0.3	35
0.5238095238095238	0.4	63
0.6162790697674418	0.5	86
0.6132075471698113	0.6	106
0.734375	0.7	128
0.8305084745762712	0.8	118
0.8452380952380952	0.9	84
0.9487179487179487	1.0	39
0.0	0.0	1
0.0	0.1	2
0.35294117647058826	0.2	17
0.3333333333333333	0.3	30
0.46153846153846156	0.4	52
0.5934065934065934	0.5	91
0.6	0.6	105
0.712	0.7	125
0.8235294117647058	0.8	119
0.8522727272727273	0.9	88
0.9	1.0	50
0.0	0.0	1
0.25	0.1	4
0.36363636363636365	0.2	11
0.28125	0.3	32
0.37735849056603776	0.4	53
0.6344086021505376	0.5	93
0.6	0.6	105
0.7288135593220338	0.7	118
0.8372093023255814	0.8	129
0.7976190476190477	0.9	84
0.94	1.0	50
0.0	0.0	2
0.25	0.1	4
0.1875	0.2	16
0.3333333333333333	0.3	33
0.4482758620689655	0.4	58
0.6116504854368932	0.5	103
0.66	0.6	100
0.7388059701492538	0.7	134
0.8055555555555556	0.8	108
0.8571428571428571	0.9	77
0.9333333333333333	1.0	45
0.0	0.1	3
0.2777777777777778	0.2	18
0.2	0.3	30
0.5272727272727272	0.4	55
0.6354166666666666	0.5	96
0.6181818181818182	0.6	110
0.7154471544715447	0.7	123
0.81	0.8	100
0.8317757009345794	0.9	107
0.9736842105263158	1.0	38
0.25	0.1	4
0.25	0.2	16
0.3548387096774194	0.3	31
0.44642857142857145	0.4	56
0.5681818181818182	0.5	88
0.680672268907563	0.6	119
0.7063492063492064	0.7	126
0.84	0.8	125
0.8108108108108109	0.9	74
0.926829268292683	1.0	41
0.25	0.1	4
0.2857142857142857	0.2	7
0.30303030303030304	0.3	33
0.43333333333333335	0.4	60
0.6190476190476191	0.5	84
0.5775862068965517	0.6	116
0.7317073170731707	0.7	123
0.8582677165354331	0.8	127
0.8	0.9	85
0.9512195121951219	1.0	41
0.0	0.1	2
0.2857142857142857	0.2	14
0.3125	0.3	32
0.4166666666666667	0.4	60
