Actual Infection	Estimated Infection	Counts
0.7391304347826086	1.0	23
0.16666666666666666	0.1	6
0.375	0.2	8
0.4473684210526316	0.3	38
0.65	0.4	60
0.6764705882352942	0.5	102
0.6052631578947368	0.6	114
0.6299212598425197	0.7	127
0.7787610619469026	0.8	113
0.8214285714285714	0.9	84
0.7857142857142857	1.0	28
0.0	0.1	3
0.5	0.2	8
0.5263157894736842	0.3	38
0.5185185185185185	0.4	54
0.6504854368932039	0.5	103
0.6635514018691588	0.6	107
0.6616541353383458	0.7	133
0.6886792452830188	0.8	106
0.8333333333333334	0.9	96
0.8125	1.0	32
0.0	0.0	1
0.5	0.1	2
0.38461538461538464	0.2	13
0.4642857142857143	0.3	28
0.5614035087719298	0.4	57
0.6470588235294118	0.5	102
0.627906976744186	0.6	129
0.6923076923076923	0.7	117
0.7043478260869566	0.8	115
0.8571428571428571	0.9	84
0.78125	1.0	32
1.0	0.0	1
0.3333333333333333	0.1	3
0.125	0.2	8
0.4838709677419355	0.3	31
0.5362318840579711	0.4	69
0.7058823529411765	0.5	102
0.6346153846153846	0.6	104
0.6029411764705882	0.7	136
0.7948717948717948	0.8	117
0.8354430379746836	0.9	79
0.7666666666666667	1.0	30
0.25	0.1	4
0.2222222222222222	0.2	9
0.5483870967741935	0.3	31
0.5714285714285714	0.4	70
0.6395348837209303	0.5	86
0.6209677419354839	0.6	124
0.6614173228346457	0.7	127
0.7477477477477478	0.8	111
0.8539325842696629	0.9	89
0.7586206896551724	1.0	29
