feature	iteration_0_importance	iteration_0_rank	iteration_1_importance	iteration_1_rank	iteration_2_importance	iteration_2_rank	iteration_3_importance	iteration_3_rank	iteration_4_importance	iteration_4_rank	iteration_5_importance	iteration_5_rank	iteration_6_importance	iteration_6_rank	iteration_7_importance	iteration_7_rank	iteration_8_importance	iteration_8_rank	iteration_9_importance	iteration_9_rank	iteration_10_importance	iteration_10_rank	iteration_11_importance	iteration_11_rank	iteration_12_importance	iteration_12_rank	iteration_13_importance	iteration_13_rank	iteration_14_importance	iteration_14_rank	iteration_15_importance	iteration_15_rank	iteration_16_importance	iteration_16_rank	iteration_17_importance	iteration_17_rank	iteration_18_importance	iteration_18_rank	iteration_19_importance	iteration_19_rank	iteration_20_importance	iteration_20_rank	iteration_21_importance	iteration_21_rank	iteration_22_importance	iteration_22_rank	iteration_23_importance	iteration_23_rank	iteration_24_importance	iteration_24_rank	iteration_25_importance	iteration_25_rank	iteration_26_importance	iteration_26_rank	iteration_27_importance	iteration_27_rank	iteration_28_importance	iteration_28_rank	iteration_29_importance	iteration_29_rank	iteration_30_importance	iteration_30_rank	iteration_31_importance	iteration_31_rank	iteration_32_importance	iteration_32_rank	iteration_33_importance	iteration_33_rank	iteration_34_importance	iteration_34_rank	iteration_35_importance	iteration_35_rank	iteration_36_importance	iteration_36_rank	iteration_37_importance	iteration_37_rank	iteration_38_importance	iteration_38_rank	iteration_39_importance	iteration_39_rank	iteration_40_importance	iteration_40_rank	iteration_41_importance	iteration_41_rank	iteration_42_importance	iteration_42_rank	iteration_43_importance	iteration_43_rank	iteration_44_importance	iteration_44_rank	iteration_45_importance	iteration_45_rank	iteration_46_importance	iteration_46_rank	iteration_47_importance	iteration_47_rank	iteration_48_importance	iteration_48_rank	iteration_49_importance	iteration_49_rank	iteration_50_importance	iteration_50_rank	iteration_51_importance	iteration_51_rank	iteration_52_importance	iteration_52_rank	iteration_53_importance	iteration_53_rank	iteration_54_importance	iteration_54_rank	iteration_55_importance	iteration_55_rank	iteration_56_importance	iteration_56_rank	iteration_57_importance	iteration_57_rank	iteration_58_importance	iteration_58_rank	iteration_59_importance	iteration_59_rank	iteration_60_importance	iteration_60_rank	iteration_61_importance	iteration_61_rank	iteration_62_importance	iteration_62_rank	iteration_63_importance	iteration_63_rank	iteration_64_importance	iteration_64_rank	iteration_65_importance	iteration_65_rank	iteration_66_importance	iteration_66_rank	iteration_67_importance	iteration_67_rank	iteration_68_importance	iteration_68_rank	iteration_69_importance	iteration_69_rank	iteration_70_importance	iteration_70_rank	iteration_71_importance	iteration_71_rank	iteration_72_importance	iteration_72_rank	iteration_73_importance	iteration_73_rank	iteration_74_importance	iteration_74_rank	iteration_75_importance	iteration_75_rank	iteration_76_importance	iteration_76_rank	iteration_77_importance	iteration_77_rank	iteration_78_importance	iteration_78_rank	iteration_79_importance	iteration_79_rank	iteration_80_importance	iteration_80_rank	iteration_81_importance	iteration_81_rank	iteration_82_importance	iteration_82_rank	iteration_83_importance	iteration_83_rank	iteration_84_importance	iteration_84_rank	iteration_85_importance	iteration_85_rank	iteration_86_importance	iteration_86_rank	iteration_87_importance	iteration_87_rank	iteration_88_importance	iteration_88_rank	iteration_89_importance	iteration_89_rank	iteration_90_importance	iteration_90_rank	iteration_91_importance	iteration_91_rank	iteration_92_importance	iteration_92_rank	iteration_93_importance	iteration_93_rank	iteration_94_importance	iteration_94_rank	iteration_95_importance	iteration_95_rank	iteration_96_importance	iteration_96_rank	iteration_97_importance	iteration_97_rank	iteration_98_importance	iteration_98_rank	iteration_99_importance	iteration_99_rank	mean_importance	median_importance	stdev_importance	mean_rank	median_rank	stdev_rank
CALM1_HUMAN	0.35279146599101663	4.0	0.5139522647386136	5.0	0.3904538332775786	5.0	0.33798112839506994	5.0	0.31597820963117057	6.0	0.5023805965672357	3.0	0.2899089009336033	9.0	0.2189146649633416	8.0	0.19615229558801742	6.0	0.08535832428348879	10.0	0.44124472483461824	3.0	0.6727342743595293	3.0	0.40701587718146687	4.0	0.5940322220863238	2.0	0.2332284903097114	7.0	0.4521140784263644	4.0	0.24914008564007528	8.0	0.48899223329950353	8.0	0.17840672733586416	8.0	0.25440923544290994	6.0	0.330357635464661	8.0	0.4945987264983573	4.0	0.3000007372436745	4.0	0.1924573740969875	8.0	0.3291151385518808	8.0	0.5250452868503841	8.0	0.08443273833837703	10.0	0.3835497884409473	5.0	0.17154935202563665	8.0	0.25599992292582413	7.0	0.48907734862944546	2.0	0.3712056412574435	8.0	0.33110433518378163	5.0	0.41730784250645936	3.0	0.1912792139742397	9.0	0.22283692745988312	6.0	0.5206384372546379	3.0	0.24872043236598204	7.0	0.25404137985306807	9.0	0.3806306242903144	3.0	0.1759946553168157	10.0	0.42754147010152427	4.0	0.11736199504002916	9.0	0.16101085431567216	9.0	0.17487199461338646	8.0	0.21375487313390154	6.0	0.25312805422379253	5.0	0.5419894116476989	3.0	0.3936641035152726	2.0	0.36254326739671866	8.0	0.5119442017438512	3.0	0.4465110263305647	7.0	0.3187241047692032	5.0	0.41427054227614396	2.0	0.33320272626296443	8.0	0.25356356991760315	8.0	0.2213568261645352	9.0	0.14461504618315177	8.0	0.13410128798701063	8.0	0.19667658858340245	7.0	0.45216594434214524	4.0	0.3641573749545574	4.0	0.3298730755594895	6.0	0.12032454769797861	9.0	0.6581861142901371	3.0	0.44704967897564135	8.0	0.5319028791783199	4.0	0.1715316435645068	9.0	0.27225106352061806	8.0	0.18943417822409356	8.0	0.42168938192864763	3.0	0.20125142281196629	9.0	0.1390714910277469	10.0	0.27252614288776705	7.0	0.2611261978758304	4.0	0.25436519441575967	5.0	0.3921233277025776	4.0	0.2878358879090246	5.0	0.43149522458071227	7.0	0.29049468296112685	3.0	0.2557038063982059	6.0	0.6783864743348756	4.0	0.366207473620513	7.0	0.5599518341930333	3.0	0.4265695675526797	5.0	0.04416168492432752	10.0	0.2337380674873964	7.0	0.42550580953575806	9.0	0.4037224505948153	2.0	0.3114559170952567	4.0	0.22371682506302104	7.0	0.710568761004259	5.0	0.9803972698670252	2.0	0.3306862814598015	7.0	0.33593570982592735	8.0	0.23061359377214205	6.0	0.5279909274080185	3.0	0.36291131305243335	2.0	0.41956356556217467	5.0	0.22077144851592445	4.0	0.34003379351696955	0.33011535551207527	0.15591325347195054	5.94	6.0	2.3733367381657566
ITIH2_HUMAN	0.0008026973299105705	10.0	0.6235918306722845	3.0	0.05752435571838826	10.0	0.33680597235024107	6.0	0.2156922329728262	7.0	0.3011028889554745	8.0	0.4569854629321152	7.0	0.4097220337111582	5.0	0.10836789052625477	8.0	0.27704143759770256	7.0	0.19220690998761822	7.0	0.7543859995126829	2.0	0.31773932808671806	6.0	0.36132760100705724	7.0	0.40348364295772887	5.0	0.3316186994393705	7.0	0.32544942440805835	7.0	0.56286846143498	6.0	0.21595383689769804	7.0	0.1686234771653951	9.0	0.4051287605605237	5.0	0.05409253295818506	9.0	0.15888977550428898	8.0	0.2881298119793471	6.0	0.5231004711191425	5.0	0.2484074529318957	9.0	0.3050645909306458	6.0	0.17247895520822612	8.0	0.3962808489266777	5.0	0.5074963580812945	4.0	0.24082414396976282	7.0	0.528289901800142	5.0	0.31956358226906983	6.0	0.3190081848943699	4.0	0.3847316171590487	4.0	0.4881257832132641	5.0	0.0225567548131028	10.0	0.564741618058523	2.0	0.709810298734051	4.0	0.05265328131485309	9.0	0.30944157931870286	7.0	0.1826446549669783	9.0	0.4401997497992854	6.0	0.24716350532542022	6.0	0.5303891944854493	2.0	0.20281726230677996	7.0	0.275461148872453	4.0	0.22461515909872742	7.0	0.20107907098913022	7.0	0.10836459704096149	10.0	0.09977037386300275	9.0	0.43630132876550926	8.0	0.17570454012986195	9.0	0.12275744479876428	7.0	0.49795212423826934	5.0	0.5702112049006994	2.0	0.37703855926737756	4.0	0.0818573865254117	10.0	0.3952759926610545	4.0	0.265708201065856	5.0	0.22350969060750847	7.0	0.3475692226007907	5.0	0.5779358294679068	3.0	0.049139167092326304	10.0	0.07767665695400985	9.0	0.8994128228746093	3.0	0.6289774270803998	2.0	0.526762327589761	2.0	0.4468469676990888	3.0	0.28319457422132216	4.0	0.07726081526141425	9.0	0.2111098759340353	8.0	0.34426506573852433	4.0	0.5546105690662447	5.0	0.05016092394951367	10.0	0.03575111667392573	10.0	0.1888531194828768	8.0	0.271813454516395	8.0	0.6808923999725508	2.0	0.21956262880643412	6.0	0.26064103493610724	5.0	0.19084609882362197	9.0	0.5123581059075365	3.0	0.29704064429445587	8.0	0.343428884837559	6.0	0.11331330853901718	9.0	0.41452082447828204	4.0	0.45537183298850364	7.0	0.35058610681789687	5.0	0.29588569040511664	6.0	0.1843912880068152	8.0	0.03101250106840358	10.0	0.3720918077703339	7.0	0.15278666327477933	8.0	0.4517703128727658	7.0	0.06880209032444157	8.0	0.18293743514181268	6.0	0.20446355599379432	6.0	0.35144379787618096	6.0	0.16199107096038398	8.0	0.30946409697417215	0.2964631673497863	0.1826786437137195	6.37	7.0	2.2681590452491323
KAIN_HUMAN	0.32315291612799385	5.0	0.4385061247406322	6.0	0.2120163253214495	8.0	0.363709836444846	4.0	0.11478266217005074	9.0	0.16701109121550858	9.0	0.6431198224533247	3.0	0.49992986135744005	3.0	0.0910020360661907	10.0	0.23870455544595512	8.0	0.287601112931754	6.0	0.5472319639626922	5.0	0.12867281130076932	9.0	0.09616007777733031	10.0	0.44229399290585847	3.0	0.35185863694960595	6.0	0.464584485185336	3.0	0.5066231592196194	7.0	0.05072968909808905	10.0	0.4076438735265621	2.0	0.3733346735771504	6.0	0.01834562329817511	10.0	0.22619819632272134	6.0	0.08615672757805798	9.0	0.8716119367430254	2.0	0.5258251424145481	7.0	0.08936655400633838	9.0	0.3919195710023165	4.0	0.31314527996835795	6.0	0.42804176872937644	5.0	0.013253153893715562	10.0	0.589431875152865	4.0	0.057713782073908454	10.0	0.28467735061877425	6.0	0.33610926418524767	5.0	0.6898672891538232	3.0	0.1137735709893772	8.0	0.3139466349737431	6.0	0.520100354892176	5.0	0.013612372609852543	10.0	0.6142404755492005	2.0	0.34665155604976944	6.0	0.21893717310074345	8.0	0.2097740179830872	8.0	0.33156063594047697	4.0	0.22368198980871878	5.0	0.27937020868919293	3.0	0.0026547246136246344	10.0	0.1617220880934522	8.0	0.5147420596647475	7.0	0.24119159145559155	7.0	0.545136073840536	4.0	0.1689056431252174	10.0	0.12809151262587723	6.0	0.43824024184812943	6.0	0.5298023064123522	3.0	0.28444994520933603	6.0	0.2146136901351049	7.0	0.08507379623587867	9.0	0.3227008463208452	4.0	0.03146661276293974	9.0	0.22875653188107828	8.0	0.3998297592133231	5.0	0.30372210077428746	4.0	0.11566969323454393	7.0	0.5649089592692008	6.0	0.37107020381776246	8.0	0.49330587458132424	3.0	0.38224401768416405	5.0	0.287837253500881	3.0	0.03999950466808647	10.0	0.16644511652546928	10.0	0.2649054227925281	7.0	0.4455230952863319	6.0	0.2598846528266602	5.0	0.3072483059213127	4.0	0.2420909405252616	7.0	0.27424280335289014	7.0	0.6763316399853956	3.0	0.2602145834935027	5.0	0.004630583422944361	10.0	0.27901849595543615	8.0	0.43434859674043624	5.0	0.3000004715355984	7.0	0.12072000704129868	9.0	0.3995903791117952	5.0	0.457134458695964	3.0	0.6248373663502723	4.0	0.05449318757975858	10.0	0.27538387755631905	7.0	0.5689609904635231	2.0	0.25945907438446175	7.0	0.12721347618942522	10.0	0.38298029628338986	6.0	0.9757391977194493	2.0	0.03933508772382832	9.0	0.14040185501243327	8.0	0.06621529855095314	8.0	0.12957635747271967	9.0	0.07974264362163189	10.0	0.30328785506595024	0.28456364791405514	0.1973303948867986	6.41	6.0	2.4540010619641572
GELS_HUMAN	0.13171959264142946	9.0	0.2997828461027921	8.0	0.08621015442307219	9.0	0.1137382228176593	10.0	0.192739043080458	8.0	0.053862569672418	10.0	0.48025493870868924	6.0	0.37022044630338485	6.0	0.0911292083369613	9.0	0.22195581633503883	9.0	0.14579825838036276	8.0	0.3368857071454932	9.0	0.12788268656634136	10.0	0.1472928161883169	9.0	0.24066656762049166	6.0	0.23568719666026336	10.0	0.15348777276211847	10.0	0.29424873001400237	9.0	0.22287388102390016	6.0	0.25231882946857187	7.0	0.5268812525110528	3.0	0.20047157978657237	7.0	0.07281500804409796	10.0	0.07113035449738879	10.0	0.1539433060088163	10.0	0.8111181635127258	3.0	0.11113663284932782	8.0	0.15171316495589138	9.0	0.4896934384169985	4.0	0.15913018742154414	9.0	0.07609937776149739	9.0	0.31939818841890577	9.0	0.2691501663741155	8.0	0.2558135944014683	7.0	0.22174100007863126	8.0	0.08364890774024566	10.0	0.1607489062151662	7.0	0.17254258905246142	9.0	0.05713820136100353	10.0	0.4151977520114968	2.0	0.20269920677554346	9.0	0.3833742337174048	5.0	0.2375918124377897	7.0	0.06106725666865106	10.0	0.28729084978643654	6.0	0.1064584853022139	9.0	0.14033642247816733	10.0	0.29835625949776845	6.0	0.03802454870090353	10.0	0.9554095975490052	2.0	0.02348518655265607	10.0	0.19725566982809156	9.0	0.2078906330557027	8.0	0.09925844550771162	8.0	0.4227699210717082	7.0	0.5134650667143208	5.0	0.06838685596671953	10.0	0.12427549661610177	9.0	0.05943685166252443	10.0	0.6101795319080101	3.0	0.1881657705471727	8.0	0.012755100750456586	10.0	0.07311305028701796	9.0	0.4189399090145683	3.0	0.005627131345992557	10.0	0.04104936113807411	9.0	0.39511843029970245	6.0	0.16205423738447156	10.0	0.21024318865957722	9.0	0.23695653355353952	7.0	0.3806871981549485	5.0	0.3038881829727659	7.0	0.36074060632137644	3.0	0.08632005666541814	10.0	0.24704287879354392	6.0	0.20333522836328807	7.0	0.28220867100893793	6.0	0.42133160733238323	4.0	0.33795007942441396	9.0	0.2721868915243634	4.0	0.10197993242408679	9.0	0.5425766714747501	5.0	0.23311933069612767	9.0	0.23436861794208236	9.0	0.11794573627700514	10.0	0.53142480599213	3.0	0.26683616971650403	6.0	0.6173045545934703	5.0	0.06519721607389402	9.0	0.0032595079258143467	10.0	0.013222409447656897	10.0	0.10143296498459359	8.0	0.4464542824877838	6.0	0.5213313167537424	3.0	0.3171744305661268	9.0	0.14817139137611443	7.0	0.15401939143852847	7.0	0.05236171579977019	10.0	0.27185821555790207	7.0	0.16643368631847577	7.0	0.23561465848857177	0.20301721756941576	0.1744614448309054	7.64	8.0	2.258631032597875
VCAM1_HUMAN	0.24024128184238305	7.0	0.06315377318165384	10.0	0.2167166425726751	7.0	0.12070328080229838	9.0	0.10304689969367134	10.0	0.439166413929785	4.0	0.08361402292952723	10.0	0.03473763098484816	10.0	0.12496701726132238	7.0	0.3246335606364895	5.0	0.09944402349016662	9.0	0.16111775189703845	10.0	0.20423260576665592	7.0	0.3744280337389893	5.0	0.022470296012846766	10.0	0.2763259871291106	9.0	0.19883878341285058	9.0	0.07169229612583258	10.0	0.3207437224173219	5.0	0.23815457357088676	8.0	0.25859891980945693	9.0	0.07378752360461262	8.0	0.13666813547024764	9.0	0.344856415020645	5.0	0.27478196206819266	9.0	0.07091931700056521	10.0	0.24010875277758598	7.0	0.2061680006991727	7.0	0.033506800147431084	9.0	0.05087411342267172	10.0	0.19045017749758708	8.0	0.23855686709396126	10.0	0.2186175543331775	9.0	0.08461478907920061	10.0	0.4252818620847961	2.0	0.20273404413062904	8.0	0.022879043174434392	9.0	0.2223250279702844	8.0	0.4360014109467177	6.0	0.12238988261447789	8.0	0.2268888189238765	8.0	0.011630909438324876	10.0	0.09769657277659728	10.0	0.4501320137127769	2.0	0.26173363677554967	7.0	0.2447423323117136	4.0	0.15885691120873233	8.0	0.047818466444905	9.0	0.3447233398486825	4.0	0.18297173510267992	9.0	0.29555629171177433	6.0	0.11710739802049983	10.0	0.42314717371947885	3.0	0.046500805479290086	9.0	0.5721717326834715	2.0	0.04659122362845583	10.0	0.33881038168002964	5.0	0.47988855528995866	3.0	0.434496453087723	2.0	0.018807579720665088	10.0	0.22789554090900985	6.0	0.13744457263647852	9.0	0.0063104214940864515	10.0	0.5399454422856523	2.0	0.08417719964956309	8.0	0.026824704841899017	10.0	0.02337002254020715	10.0	0.199708171490268	8.0	0.061257970227557496	10.0	0.4308577676598703	2.0	0.24679724533792466	7.0	0.36444970874306926	6.0	0.25916872648796047	8.0	0.12726329944913461	9.0	0.21188329450976826	7.0	0.2462232015497975	6.0	0.022043446152693436	10.0	0.12786737759780534	10.0	0.3845796519300091	8.0	0.0014097927509082854	10.0	0.10689516415196423	8.0	0.34143930191406785	7.0	0.16426542208653747	10.0	0.13145880447521607	10.0	0.2875332150070515	7.0	0.2523273816681986	6.0	0.21868067953430195	9.0	0.16503865102742427	10.0	0.08542039849614547	8.0	0.30477412338481596	5.0	0.26551749120338575	6.0	0.08981494655451122	9.0	0.22025999371650715	9.0	0.06472591936182617	9.0	0.11337430401048576	10.0	0.3020662771415823	5.0	0.03669273462948293	9.0	0.053523506978895734	9.0	0.1165313406370209	10.0	0.3673355811607255	2.0	0.19789974323291198	0.1992734774515593	0.1350367518168661	7.67	8.0	2.4081301686351817
