	Weight	Feature	Label
99	0.003925334020087152	ACTG_HUMAN	Respiratory
100	0.0038308227732496134	CD44_HUMAN	Respiratory
101	0.0037365003983843895	TRFE_HUMAN	Respiratory
102	0.0036724069737563945	A1AG2_HUMAN	Respiratory
103	0.0034858264299388528	ITIH2_HUMAN	Respiratory
104	0.0034595499813052377	PON1_HUMAN	Respiratory
105	0.003441668798737513	SAA4_HUMAN	Respiratory
106	0.0034130048087634072	APOF_HUMAN	Respiratory
107	0.003370743168328313	PPIA_HUMAN	Respiratory
108	0.003365866316158197	APOA2_HUMAN	Respiratory
109	0.003346590465360051	CO3_HUMAN	Respiratory
110	0.003251878524971136	PROP_HUMAN	Respiratory
111	0.00319993447500328	CRAC1_HUMAN	Respiratory
112	0.003151920365880761	CRP_HUMAN	Respiratory
113	0.0030868928861257404	TIMP1_HUMAN	Respiratory
114	0.003054817253405776	FBLN5_HUMAN	Respiratory
115	0.0029197570453768622	FCG3A_HUMAN	Respiratory
116	0.0028376787455222712	ECM1_HUMAN	Respiratory
117	0.0028224791544323607	CATD_HUMAN	Respiratory
118	0.0027846976422860555	LMAN2_HUMAN	Respiratory
119	0.0027241389139666095	1433Z_HUMAN	Respiratory
120	0.002675119665044678	CO7_HUMAN	Respiratory
121	0.0026442523579019717	ITIH1_HUMAN	Respiratory
122	0.0025891324793595153	SPP24_HUMAN	Respiratory
123	0.0025546172127524185	CAH1_HUMAN	Respiratory
124	0.0024441608656883542	SAA1_HUMAN	Respiratory
125	0.0023988136810391544	ENPL_HUMAN	Respiratory
126	0.002355321414850026	LG3BP_HUMAN	Respiratory
127	0.002315996987755108	CAMP_HUMAN	Respiratory
128	0.0020543606775024594	THBG_HUMAN	Respiratory
129	0.002013961191362687	A1AT_HUMAN	Respiratory
130	0.0018930863180312977	HRG_HUMAN	Respiratory
131	0.001892652991559229	CO2_HUMAN	Respiratory
132	0.0018282268806445296	FBLN1_HUMAN	Respiratory
133	0.0015954108877855393	PCSK9_HUMAN	Respiratory
134	0.0015826840136397714	FBLN3_HUMAN	Respiratory
135	0.001574659311395453	PZP_HUMAN	Respiratory
136	0.0015695447400390862	GSTO1_HUMAN	Respiratory
137	0.001376429893355491	FINC_HUMAN	Respiratory
138	0.0013750570320434092	APOA1_HUMAN	Respiratory
139	0.0013536710124198434	KLKB1_HUMAN	Respiratory
140	0.0013101646249803834	APOL1_HUMAN	Respiratory
141	0.0012794582613115957	CALM1_HUMAN	Respiratory
142	0.0012489779570937132	CADH1_HUMAN	Respiratory
143	0.0011844029649713743	MA1A1_HUMAN	Respiratory
144	0.0011365666681126543	FIBB_HUMAN	Respiratory
145	0.0011184113515027212	OAF_HUMAN	Respiratory
146	0.0010967768788871127	G3P_HUMAN	Respiratory
147	0.001088212552439154	C163A_HUMAN	Respiratory
148	0.0010871543775830062	LCAT_HUMAN	Respiratory
149	0.0010786332354312364	CFAB_HUMAN	Respiratory
150	0.001075248458844549	CO4B_HUMAN	Respiratory
151	0.0010162630457877632	PCYOX_HUMAN	Respiratory
152	0.0008686619993784355	LYSC_HUMAN	Respiratory
153	0.0008680958507103814	VASN_HUMAN	Respiratory
154	0.0008499087677333782	LDHB_HUMAN	Respiratory
155	0.0007371322378017742	CO6A1_HUMAN	Respiratory
156	0.0005826652091064335	HPT_HUMAN	Respiratory
157	0.00035889475257718174	ACTBL_HUMAN	Respiratory
158	0.000335944619473088	CO9_HUMAN	Respiratory
159	0.0003264684681659018	RNAS4_HUMAN	Respiratory
160	0.0002584195832021261	IBP6_HUMAN	Respiratory
161	0.0002548165265765167	FCGBP_HUMAN	Respiratory
162	0.00014852390555833954	A2GL_HUMAN	Respiratory
163	0.00014056105108803426	FIBA_HUMAN	Respiratory
164	3.517643439242059e-05	PLMN_HUMAN	Respiratory
165	0.030136533221871473	CYTC_HUMAN	Renal
166	0.029380990076732994	B2MG_HUMAN	Renal
167	0.01841467636223782	PHLD_HUMAN	Renal
168	0.017808602354211705	ACTBL_HUMAN	Renal
169	0.017761102773966097	A2GL_HUMAN	Renal
170	0.01733230341958212	VWF_HUMAN	Renal
171	0.016610606051759375	FCG3A_HUMAN	Renal
172	0.01560163544260243	PZP_HUMAN	Renal
173	0.01380883379324946	IBP6_HUMAN	Renal
174	0.013580882098454265	THRB_HUMAN	Renal
175	0.01350514743210739	LYSC_HUMAN	Renal
176	0.012660395090368117	CBPN_HUMAN	Renal
177	0.012558509639611838	TYB4_HUMAN	Renal
178	0.012385019377990464	CBPB2_HUMAN	Renal
179	0.012118638056448628	FBLN5_HUMAN	Renal
180	0.011518751656001656	CD14_HUMAN	Renal
181	0.011081338395998678	KNG1_HUMAN	Renal
182	0.010984444581404315	HEP2_HUMAN	Renal
183	0.01090493275046757	CLUS_HUMAN	Renal
184	0.010572422263914086	SEPP1_HUMAN	Renal
185	0.010482513061166016	SAA2_HUMAN	Renal
186	0.01035111880480613	FINC_HUMAN	Renal
187	0.0101893194503226	KAIN_HUMAN	Renal
188	0.01018668706347435	CD44_HUMAN	Renal
189	0.010015831631260286	ECM1_HUMAN	Renal
190	0.00990815688180994	MA1A1_HUMAN	Renal
191	0.009710260036257657	CADH1_HUMAN	Renal
192	0.009678622375136874	CFAD_HUMAN	Renal
193	0.009629051668859556	PSPB_HUMAN	Renal
194	0.009338029178047066	PEDF_HUMAN	Renal
195	0.009143998036146649	ACTB_HUMAN	Renal
196	0.009032652602607901	HGFA_HUMAN	Renal
197	0.008943714512992225	COL11_HUMAN	Renal
198	0.008868445894653243	LAMP2_HUMAN	Renal
199	0.00880316441579978	FBLN1_HUMAN	Renal
200	0.008597543290136834	FCN3_HUMAN	Renal
201	0.008552492894549617	CO9_HUMAN	Renal
202	0.008469178666974308	CFAB_HUMAN	Renal
203	0.008441973737056086	FHR2_HUMAN	Renal
204	0.008429856332600695	PCSK9_HUMAN	Renal
205	0.008301162465379095	C1RL_HUMAN	Renal
206	0.008177985266624508	AFAM_HUMAN	Renal
207	0.008043981558348092	PTPRG_HUMAN	Renal
208	0.008040584699422901	RNAS4_HUMAN	Renal
209	0.007981793448939695	ITIH4_HUMAN	Renal
210	0.007961351248778966	BTD_HUMAN	Renal
211	0.007826849760206573	CO3_HUMAN	Renal
212	0.0077945385644191305	FETUB_HUMAN	Renal
213	0.007585925030412613	PROP_HUMAN	Renal
214	0.0074088338078022835	AACT_HUMAN	Renal
215	0.007382503773996776	FHR1_HUMAN	Renal
216	0.007354577060607958	CRP_HUMAN	Renal
217	0.007328386032681292	PROC_HUMAN	Renal
218	0.007265871004781077	CO7_HUMAN	Renal
219	0.007264127090562837	IC1_HUMAN	Renal
220	0.007256724217430866	HPT_HUMAN	Renal
221	0.007195567692404566	IBP3_HUMAN	Renal
222	0.007024090969391412	PTGDS_HUMAN	Renal
223	0.00674719599025317	PRDX6_HUMAN	Renal
224	0.0067425260444206325	FIBG_HUMAN	Renal
225	0.006711190643322044	APOA1_HUMAN	Renal
226	0.006690785210136498	APOC4_HUMAN	Renal
227	0.006648275453765984	LMAN2_HUMAN	Renal
228	0.0066174176431091445	C1QC_HUMAN	Renal
229	0.006615699307020001	SAA1_HUMAN	Renal
230	0.006401371748814093	THBG_HUMAN	Renal
231	0.0063822073912547005	PGRP2_HUMAN	Renal
232	0.006365878946595438	PCYOX_HUMAN	Renal
233	0.0063179069180726785	APOA4_HUMAN	Renal
234	0.006189676996513582	CATB_HUMAN	Renal
235	0.006135204359197926	APOC1_HUMAN	Renal
236	0.006056562652525128	VASN_HUMAN	Renal
237	0.006033208924357031	FBLN3_HUMAN	Renal
238	0.006029162508364348	TRFE_HUMAN	Renal
239	0.006012482620739065	FETUA_HUMAN	Renal
240	0.005994112998996488	TTHY_HUMAN	Renal
241	0.005827337427059775	CNDP1_HUMAN	Renal
242	0.005636441919284054	ATS13_HUMAN	Renal
