feature	iteration_0_importance	iteration_0_rank	iteration_1_importance	iteration_1_rank	iteration_2_importance	iteration_2_rank	iteration_3_importance	iteration_3_rank	iteration_4_importance	iteration_4_rank	iteration_5_importance	iteration_5_rank	iteration_6_importance	iteration_6_rank	iteration_7_importance	iteration_7_rank	iteration_8_importance	iteration_8_rank	iteration_9_importance	iteration_9_rank	iteration_10_importance	iteration_10_rank	iteration_11_importance	iteration_11_rank	iteration_12_importance	iteration_12_rank	iteration_13_importance	iteration_13_rank	iteration_14_importance	iteration_14_rank	iteration_15_importance	iteration_15_rank	iteration_16_importance	iteration_16_rank	iteration_17_importance	iteration_17_rank	iteration_18_importance	iteration_18_rank	iteration_19_importance	iteration_19_rank	iteration_20_importance	iteration_20_rank	iteration_21_importance	iteration_21_rank	iteration_22_importance	iteration_22_rank	iteration_23_importance	iteration_23_rank	iteration_24_importance	iteration_24_rank	iteration_25_importance	iteration_25_rank	iteration_26_importance	iteration_26_rank	iteration_27_importance	iteration_27_rank	iteration_28_importance	iteration_28_rank	iteration_29_importance	iteration_29_rank	iteration_30_importance	iteration_30_rank	iteration_31_importance	iteration_31_rank	iteration_32_importance	iteration_32_rank	iteration_33_importance	iteration_33_rank	iteration_34_importance	iteration_34_rank	iteration_35_importance	iteration_35_rank	iteration_36_importance	iteration_36_rank	iteration_37_importance	iteration_37_rank	iteration_38_importance	iteration_38_rank	iteration_39_importance	iteration_39_rank	iteration_40_importance	iteration_40_rank	iteration_41_importance	iteration_41_rank	iteration_42_importance	iteration_42_rank	iteration_43_importance	iteration_43_rank	iteration_44_importance	iteration_44_rank	iteration_45_importance	iteration_45_rank	iteration_46_importance	iteration_46_rank	iteration_47_importance	iteration_47_rank	iteration_48_importance	iteration_48_rank	iteration_49_importance	iteration_49_rank	iteration_50_importance	iteration_50_rank	iteration_51_importance	iteration_51_rank	iteration_52_importance	iteration_52_rank	iteration_53_importance	iteration_53_rank	iteration_54_importance	iteration_54_rank	iteration_55_importance	iteration_55_rank	iteration_56_importance	iteration_56_rank	iteration_57_importance	iteration_57_rank	iteration_58_importance	iteration_58_rank	iteration_59_importance	iteration_59_rank	iteration_60_importance	iteration_60_rank	iteration_61_importance	iteration_61_rank	iteration_62_importance	iteration_62_rank	iteration_63_importance	iteration_63_rank	iteration_64_importance	iteration_64_rank	iteration_65_importance	iteration_65_rank	iteration_66_importance	iteration_66_rank	iteration_67_importance	iteration_67_rank	iteration_68_importance	iteration_68_rank	iteration_69_importance	iteration_69_rank	iteration_70_importance	iteration_70_rank	iteration_71_importance	iteration_71_rank	iteration_72_importance	iteration_72_rank	iteration_73_importance	iteration_73_rank	iteration_74_importance	iteration_74_rank	iteration_75_importance	iteration_75_rank	iteration_76_importance	iteration_76_rank	iteration_77_importance	iteration_77_rank	iteration_78_importance	iteration_78_rank	iteration_79_importance	iteration_79_rank	iteration_80_importance	iteration_80_rank	iteration_81_importance	iteration_81_rank	iteration_82_importance	iteration_82_rank	iteration_83_importance	iteration_83_rank	iteration_84_importance	iteration_84_rank	iteration_85_importance	iteration_85_rank	iteration_86_importance	iteration_86_rank	iteration_87_importance	iteration_87_rank	iteration_88_importance	iteration_88_rank	iteration_89_importance	iteration_89_rank	iteration_90_importance	iteration_90_rank	iteration_91_importance	iteration_91_rank	iteration_92_importance	iteration_92_rank	iteration_93_importance	iteration_93_rank	iteration_94_importance	iteration_94_rank	iteration_95_importance	iteration_95_rank	iteration_96_importance	iteration_96_rank	iteration_97_importance	iteration_97_rank	iteration_98_importance	iteration_98_rank	iteration_99_importance	iteration_99_rank	mean_importance	median_importance	stdev_importance	mean_rank	median_rank	stdev_rank
TRFE_HUMAN	0.5022136083244804	9.0	0.49923777308656664	6.0	0.7582818391927773	4.0	0.3147497717991074	7.0	0.3731834017277218	7.0	0.6955263104138799	3.0	0.4455206753691656	7.0	0.469095233503772	9.0	0.6126164514438324	6.0	0.5921321450405223	7.0	0.048156068307114566	10.0	0.6507770975964456	6.0	0.5196790662519626	5.0	0.6192639897055514	5.0	0.61025149942163	5.0	0.4425859648129013	7.0	0.23737523485491918	10.0	0.3762141400800091	6.0	0.13975848130272028	10.0	0.6247638529156543	5.0	0.3583281011126231	9.0	0.5591215690077418	5.0	0.25548268495646176	8.0	0.3261219199933346	9.0	0.7354404342799975	3.0	0.49924349227555365	4.0	0.23207084175547324	7.0	0.3941895074297233	7.0	0.15312872125065827	9.0	0.4527913231566887	7.0	0.8326697837266565	3.0	0.26434322509302327	9.0	0.3165269854313238	7.0	0.44761711603995846	4.0	0.29028650755564345	6.0	0.36417741320424263	8.0	0.825885160474897	3.0	0.7416140812553575	5.0	0.7302586434685543	4.0	0.6999198392786433	3.0	0.5310896822887438	9.0	0.7269752825976225	3.0	0.28960590322601293	9.0	0.47975835672395645	7.0	0.5124494925953182	7.0	0.35908242235053023	6.0	0.7723151698414066	3.0	0.5450604147263483	6.0	0.6002879632044505	3.0	0.31119295509046696	6.0	0.6415436870810383	4.0	0.1389471726005971	10.0	0.44040429177187573	5.0	0.3433154373710127	8.0	0.5569577278529141	7.0	0.4644707396029255	6.0	0.900615329953747	2.0	0.506965008170408	7.0	0.5954241746643103	4.0	0.48736183104007186	4.0	0.7887693832344929	5.0	0.5203406743930775	6.0	0.35429464991434345	10.0	0.5613653209747792	8.0	0.6125419806130248	3.0	1.0	1.0	0.6218594157354473	4.0	0.7944067267783828	4.0	0.43342233069325015	7.0	0.5348088211867059	8.0	0.4912395479879164	7.0	0.5687009460794628	4.0	0.4151507463723253	5.0	0.443817320017836	5.0	0.7282288812599362	4.0	0.25526991741246563	9.0	0.343976612081449	8.0	0.19616038290697785	9.0	0.5726825112904882	7.0	0.24408584373868328	8.0	0.0871844706933324	10.0	0.3222935439650061	8.0	0.6216522971756621	4.0	0.4151864079404529	6.0	0.5179889130889805	6.0	0.5036316549613955	5.0	0.48213391756821483	8.0	0.3148015790703849	7.0	0.5002398023458661	7.0	0.5345975028232715	7.0	0.26240988511458774	8.0	0.8512670377911215	4.0	0.7406493403426397	4.0	0.7627595405988945	2.0	0.6021277552387693	5.0	0.6506909244054321	4.0	0.5013593870479179	5.0	0.5356808333528049	7.0	0.19445989694611204	10.0	0.18407029058152485	10.0	0.49280729992374456	0.500799594696892	0.19432872615395483	6.19	6.0	2.2142559230877747
PROC_HUMAN	0.5605849526237424	7.0	0.24820701989469324	9.0	0.29575078899990287	8.0	0.19905795015937658	8.0	0.5694559183612063	6.0	0.3372479116842772	7.0	0.23972380813303626	9.0	0.6755900889458065	7.0	0.12112623324583685	9.0	0.23143586099172217	8.0	0.24793925823540292	8.0	0.170870856616596	8.0	0.3124516166415193	8.0	0.39248659609827186	8.0	0.48896647309333274	7.0	0.5018043986447317	5.0	0.6219504555130677	3.0	0.3302175025887662	8.0	0.82095304203994	3.0	0.6783156949884201	3.0	0.6669762640794262	4.0	0.3851214733988039	8.0	0.2373803745596038	9.0	0.11322122993157102	10.0	0.2925693856384069	8.0	0.3190553397868679	7.0	0.1112911220097875	10.0	0.26790400211430776	10.0	0.01948064966768001	10.0	0.7052741061140422	5.0	0.30176837349713836	10.0	0.5874656797315749	6.0	0.4678394155469364	3.0	0.21508782574166407	9.0	0.5242990263277069	3.0	0.5956205760542705	4.0	0.8100781537300434	4.0	0.5829934260289182	6.0	0.2897232745593041	9.0	0.46111706997665414	7.0	0.7418751446493734	7.0	0.4814244116186858	6.0	0.7196604904869004	7.0	0.6781835986898066	6.0	0.3665978856900248	8.0	0.2731754548603488	8.0	0.6886577937101797	5.0	0.4616757137968772	7.0	0.3933356449443379	8.0	0.16952752065441248	9.0	0.42010192132588703	7.0	0.5607870519326262	4.0	0.4685138786122762	4.0	0.18929205433077217	9.0	0.5106578193241039	8.0	0.33845335965160855	9.0	0.5589300012079182	7.0	0.32686694249414167	9.0	0.5039052125665224	6.0	0.45193060712853317	5.0	0.7329606942652812	7.0	0.418893988958016	9.0	0.5571228359460811	8.0	0.7594720465681494	5.0	0.4089320120584608	5.0	0.4624633576184476	7.0	0.2385913717006595	9.0	0.5852547408338966	8.0	0.6393834284393297	4.0	0.5720251627508496	6.0	0.6950127153312399	5.0	0.24837540583017584	9.0	0.35742891171691094	6.0	0.2485561293423625	9.0	0.07712005163747601	9.0	0.6456265016406939	3.0	0.5240022568534997	5.0	0.24333017384701963	8.0	0.37655036048451757	9.0	0.055577164377948844	10.0	0.45627924358615835	8.0	0.4674478945513087	7.0	0.34180763233979716	8.0	0.44491853152681354	5.0	0.5832921199096064	5.0	0.2737543582787248	9.0	0.5797106347248682	7.0	0.14633877308598933	9.0	0.523074585735155	6.0	0.6578591201224566	5.0	0.30307152875730997	7.0	0.43636531576321885	8.0	0.5025175123123904	6.0	0.4779655841791813	6.0	0.43393965378035715	7.0	0.2899952444007969	9.0	0.4864380653350615	6.0	0.6379178840503187	5.0	0.4328732620960382	5.0	0.2013415392303125	9.0	0.42825543497636565	0.4406419236450162	0.18586524365934115	6.98	7.0	1.9278920293335093
PLF4_HUMAN	1.0	1.0	0.19568282281211685	10.0	0.29254844633187116	9.0	0.31744367270125845	6.0	0.6791415815213422	4.0	0.4655153628065742	6.0	0.0028050150095331864	10.0	0.45184802340795666	10.0	0.4753992364738405	7.0	0.8944652115979435	3.0	0.1462193504234763	9.0	0.2277388665554068	7.0	0.2314884234895324	9.0	0.47293765860733	7.0	0.2629692813759067	10.0	0.4616623541396721	6.0	0.541760873627408	5.0	0.05775563453584239	10.0	0.5912706322796673	4.0	0.38800103388188106	9.0	0.32545106486282616	10.0	0.09724730292102486	10.0	0.15749442583360673	10.0	0.3360679052737737	8.0	0.8995012923703039	2.0	0.13493619352001274	9.0	0.13382739759264056	9.0	0.4434589828094354	6.0	0.6350134176829256	5.0	0.7090356010706488	4.0	0.44424367457677755	8.0	0.19223488719533235	10.0	0.3875948927743094	5.0	0.20077219412980457	10.0	0.11260987724248407	8.0	0.33938240926806534	9.0	0.4117624801949639	9.0	0.03837223641640273	10.0	0.39080312152084695	7.0	0.7650638015251898	2.0	0.7741597882609853	6.0	0.4111534385670178	8.0	0.3074959000019667	8.0	0.7055176324067848	4.0	0.7943636488857411	4.0	0.31370111406053247	7.0	0.46208910596058816	8.0	0.38876316147652484	8.0	0.13691149719848067	10.0	0.025583433381115205	10.0	0.3285248614650795	8.0	0.5800269655789219	3.0	0.1483683399571685	10.0	0.83380099796383	2.0	0.6441053751627228	5.0	0.42808653334535973	7.0	0.7719134821231391	3.0	0.5597369903010715	5.0	0.2969832597541385	9.0	0.002443195637330099	10.0	0.5591214388678629	9.0	0.4675521532155776	8.0	0.6529087471398518	6.0	0.6694575960463514	6.0	0.6217915367854933	2.0	0.35911658506202315	9.0	0.45033606357993833	5.0	0.19793227042520006	10.0	0.40491331513571016	8.0	0.7010249365265764	4.0	0.415965827692933	9.0	0.4081449137429292	6.0	0.3374741851495958	7.0	0.44822549657745875	4.0	1.0	1.0	0.2686472434693363	8.0	0.24904020597807952	10.0	0.1785482114221361	10.0	0.2827309222399447	10.0	0.13772255142636544	9.0	0.5172552941382399	7.0	0.8134404525632227	2.0	0.48136896943057783	7.0	0.3085203320306856	9.0	0.7539123428315153	3.0	0.20206629486909558	10.0	0.9632992891054809	2.0	0.3192893215576268	6.0	0.8468558476338844	3.0	0.42201993332688226	9.0	0.4978568141911967	5.0	0.24232266353691614	9.0	0.24153055054935904	9.0	0.09363440889314673	10.0	0.3985807887916138	8.0	0.2657779397619282	10.0	0.46018882937338146	8.0	0.8359467560870325	3.0	0.2475181744469009	9.0	0.32920039236780796	8.0	0.4227649495781827	0.401747051963662	0.2419519001943014	7.06	8.0	2.6621932174943144
TSP1_HUMAN	0.5128517587053334	8.0	0.3638148857511682	8.0	0.01893428130097973	10.0	0.16344971592204735	9.0	0.20738090390184705	9.0	0.17405558352799955	9.0	0.512466511948584	6.0	0.7660069509188595	4.0	0.1971996920888247	8.0	0.11723443774084318	10.0	0.6424535044713447	2.0	0.11811445784663789	9.0	0.49341586815669514	6.0	0.011144306361359187	10.0	0.730321842792669	3.0	0.44080034754736	8.0	0.555388660241168	4.0	0.5411997785786513	3.0	0.26220546526093097	9.0	0.7774460408601771	2.0	0.3977192536050323	6.0	0.6457688428788998	3.0	0.263379050314172	7.0	0.5542903212101526	5.0	0.009966928614259617	10.0	0.10928491143312942	10.0	0.7495429739903156	4.0	0.5643770547008549	5.0	0.6837745895064811	4.0	0.17395354922930895	9.0	0.3674462854514909	9.0	0.6329435103428321	5.0	0.15802772427804893	9.0	0.3548032860141936	7.0	0.09612023709749776	9.0	0.594789236265501	5.0	0.46450745267038757	8.0	0.5482021287750438	7.0	0.10475014975446272	10.0	0.16778672793646304	10.0	0.8394522687604193	4.0	0.03694015953093818	10.0	0.8012533548625466	6.0	0.0974170545669211	9.0	0.05358911434745914	10.0	0.19868711722763935	10.0	0.6976951134807888	4.0	0.7765803843641678	3.0	0.5856802858030081	4.0	0.2668580571175226	7.0	0.32390968278383936	9.0	0.4181428865025839	8.0	0.3145598045868681	7.0	0.03066052516769525	10.0	0.509052028661425	9.0	0.47346071123380706	5.0	0.38284425514804643	9.0	0.12794550837403768	10.0	0.33879852422971607	8.0	0.3635612566205873	7.0	0.8321263187758373	3.0	0.5664707704850279	5.0	0.45717809974088747	9.0	0.40241002844047286	9.0	0.16793647748352847	9.0	0.9254313430106557	4.0	0.4027804789273965	6.0	0.6721917907919881	6.0	0.6098506336399406	5.0	0.6486981250893306	5.0	0.4320822676202038	8.0	0.031729560432636944	10.0	0.47532987900715246	4.0	0.3987029968195154	7.0	0.018522266651820666	10.0	0.22797049689991528	10.0	0.4180807638918708	7.0	0.4478641721168906	6.0	0.7624531585138822	4.0	0.5263725508918212	5.0	0.6297024251093495	5.0	0.29751906871443906	9.0	0.16382453828098972	9.0	0.3310242526082507	8.0	0.43323033012905304	8.0	0.2940574661100607	8.0	0.07971312974131771	10.0	0.5896678056856304	5.0	0.34002115054637355	9.0	0.6087847343456224	6.0	0.3033043186384273	6.0	0.5375554465183947	7.0	0.7874786053568574	2.0	0.37642722697669756	8.0	0.544537152508945	6.0	0.44180182281468866	6.0	0.20778270430337475	10.0	0.6171629817504062	6.0	0.6156694438327119	4.0	0.5974490136257354	4.0	0.4110530309819012	0.41811182519722734	0.23273498813553029	6.96	7.0	2.3780137709755795
COL10_HUMAN	0.1530343112280677	10.0	0.5155688008470122	5.0	0.450965045214244	7.0	0.005179809316957968	10.0	0.23028052913814803	8.0	0.046740954577717056	10.0	0.2804148729988143	8.0	1.0	1.0	0.051799694019613686	10.0	0.2050005165418421	9.0	0.26304392563927104	7.0	0.03748648494424853	10.0	0.1077730187392252	10.0	0.2447471200095015	9.0	0.38122364093212924	9.0	0.051696723163830706	10.0	0.39820611208534806	7.0	0.28687488533650773	9.0	0.26570755402404694	8.0	0.1825171262697049	10.0	0.3804168703609962	8.0	0.19269426332486675	9.0	0.3324909584496815	6.0	0.662921552871084	3.0	0.46550783191016126	7.0	0.15114489436438527	8.0	0.1660452377908031	8.0	0.2698026154857675	9.0	0.43190631333747925	7.0	0.07314202171845115	10.0	0.6886308025370017	6.0	0.3597958959930451	8.0	0.09226113886518375	10.0	0.2880728956674775	8.0	0.22494552367143444	7.0	0.23857091897475702	10.0	0.18106571501065946	10.0	0.19900098791398144	9.0	0.3774461572187724	8.0	0.18754196119801614	9.0	0.6829203680845682	8.0	0.16389536007829908	9.0	0.09433761881665605	10.0	0.06955400254910091	10.0	0.3240966042638002	9.0	0.2239967697744701	9.0	0.06111948273068864	10.0	0.3387266433306888	10.0	0.24978144907328076	9.0	0.24020302279255157	8.0	0.24421034298721042	10.0	0.2425981238393542	9.0	0.21921252985134793	8.0	0.3448272041757317	7.0	0.3941625601788428	10.0	0.202166933762829	10.0	0.09372871395632859	10.0	0.3569557272910925	8.0	0.21124709519902937	10.0	0.2022851898094828	8.0	0.7068000399055753	8.0	0.02516861845857526	10.0	0.6537486974852322	5.0	0.11507302319442778	10.0	0.19239154203324724	8.0	0.33318459096989994	10.0	0.026171224921979593	10.0	0.3910306907086771	9.0	0.21150366864421785	10.0	0.18579965379729735	10.0	0.28085421471490174	10.0	0.26369212783989937	8.0	0.2233074020028373	10.0	0.2156669895577764	10.0	0.41814684078407294	8.0	0.32321470360386556	7.0	0.33769105797711907	9.0	0.2722771956775841	7.0	0.46052629431758274	8.0	0.4101403412206078	6.0	0.20956036157024613	9.0	0.22721523027003418	10.0	0.019655226466249995	10.0	0.5478798600489074	3.0	0.30253045805673656	10.0	0.5534705147569847	4.0	0.11567378454809166	9.0	0.13459907834889964	10.0	0.36798433679047166	8.0	0.4002151720420141	10.0	0.7898383404476914	2.0	0.16475102581231502	10.0	0.20477857946198413	10.0	0.2806946227381556	9.0	0.30277877149413907	9.0	0.2988297394836292	8.0	0.4744831886504137	7.0	0.5244041241709565	8.0	0.2502218736414526	8.0	0.4380758422052141	7.0	0.2873572047305556	0.2500016613573667	0.18011975101238412	8.43	9.0	1.8545875416099802
