sample,reachability,label
0,inf,0
1,2.036222501125294,0
2,1.809862779338712,0
3,1.809862779338712,0
4,1.809862779338712,0
5,1.647164207135581,0
6,1.647164207135581,0
7,1.647164207135581,0
8,1.647164207135581,0
9,1.647164207135581,0
10,1.647164207135581,0
11,1.647164207135581,0
12,1.653396038406988,0
13,1.680231763012653,0
14,1.696584245268673,0
15,1.696584245268673,0
16,1.568724945710428,0
17,1.568724945710428,0
18,1.568724945710428,0
19,1.568724945710428,0
20,1.51678207988632,0
21,1.51678207988632,0
22,1.51678207988632,0
23,1.246735580270759,0
24,1.194487464024835,0
25,1.194487464024835,0
26,1.194487464024835,0
27,1.194487464024835,0
28,1.194487464024835,0
29,1.194487464024835,0
30,1.194487464024835,0
31,1.194487464024835,0
32,1.215427010802472,0
33,1.215427010802472,0
34,1.215427010802472,0
35,1.215427010802472,0
36,1.215427010802472,0
37,1.215427010802472,0
38,1.221675638165295,0
39,1.222305999021764,0
40,1.222305999021764,0
41,1.222305999021764,0
42,1.222305999021764,0
43,1.227499631662628,0
44,1.242121041093966,0
45,1.242121041093966,0
46,1.242121041093966,0
47,1.242121041093966,0
48,1.242121041093966,0
49,1.242121041093966,0
50,1.242121041093966,0
51,1.248478627462929,0
52,1.269098266704706,0
53,1.269098266704706,0
54,1.269098266704706,0
55,1.269098266704706,0
56,1.269098266704706,0
57,1.270303680531945,0
58,1.274058089235572,0
59,1.286105996579108,0
60,1.286105996579108,0
61,1.288670083734252,0
62,1.288700824013988,0
63,1.290262901156532,0
64,1.299166747840953,0
65,1.301006105093676,0
66,1.306854067390206,0
67,1.310377164210978,0
68,1.313806628491501,0
69,1.313806628491501,0
70,1.31431434632536,0
71,1.31431434632536,0
72,1.31515329844593,0
73,1.317146925443674,0
74,1.32738307869729,0
75,1.337476730633458,0
76,1.340513930379327,0
77,1.347577298887208,0
78,1.347577298887208,0
79,1.355892682953083,0
80,1.36084481476805,0
81,1.371297981934622,0
82,1.372864231702158,0
83,1.372864231702158,0
84,1.372864231702158,0
85,1.372864231702158,0
86,1.372864231702158,0
87,1.372864231702158,0
88,1.374738177779465,0
89,1.380023917902816,0
90,1.384512099581214,0
91,1.387460418896547,0
92,1.387578942483864,0
93,1.388167521620208,0
94,1.392903159454889,0
95,1.392903159454889,0
96,1.392903159454889,0
97,1.392903159454889,0
98,1.394273794638817,0
99,1.399524918183891,0
100,1.400618698697051,0
101,1.401333989263676,0
102,1.402162253165716,0
103,1.402162253165716,0
104,1.402257054467442,0
105,1.40468292511011,0
106,1.404889730528883,0
107,1.407923475270539,0
108,1.412727453390474,0
109,1.419063563051364,0
110,1.419683621525902,0
111,1.427293806655004,0
112,1.427293806655004,0
113,1.427293806655004,0
114,1.427293806655004,0
115,1.427798120477188,0
116,1.427870388243134,0
117,1.428574449453758,0
118,1.434266024196094,0
119,1.435018866979374,0
120,1.435018866979374,0
121,1.435018866979374,0
122,1.435018866979374,0
123,1.435018866979374,0
124,1.435018866979374,0
125,1.435018866979374,0
126,1.43957513011226,0
127,1.440047393693655,0
128,1.450739316052401,0
129,1.451067712231392,0
130,1.451448993656117,0
131,1.453293112032037,0
132,1.455871479100454,0
133,1.456565794371171,0
134,1.456565794371171,0
135,1.457872430238789,0
136,1.459440536859852,0
137,1.459440536859852,0
138,1.462449260074258,0
139,1.463840390293894,0
140,1.465404536520816,0
141,1.466599011680752,0
142,1.466599011680752,0
143,1.468396609133423,0
144,1.46917577877204,0
145,1.469853516282204,0
146,1.473486112710304,0
147,1.473926151598383,0
148,1.475764332385057,0
149,1.475764332385057,0
150,1.475786909767033,0
151,1.475786909767033,0
152,1.475786909767033,0
153,1.475786909767033,0
154,1.475786909767033,0
155,1.476314117175902,0
156,1.478705056759052,0
157,1.47915736967612,0
158,1.480076314099386,0
159,1.481872556114162,0
160,1.483743232639299,0
161,1.485355053295022,0
162,1.488335708526018,0
163,1.490046204468298,0
164,1.490046204468298,0
165,1.490046204468298,0
166,1.490247337992382,0
167,1.492445114295446,0
168,1.493405823266487,0
169,1.493577045086142,0
170,1.493577045086142,0
171,1.493577045086142,0
172,1.494893551457601,0
173,1.495465375404653,0
174,1.496782824058054,0
175,1.496782824058054,0
176,1.499133749350034,0
177,1.500479944597481,0
178,1.508121633075307,0
179,1.509130511273638,0
180,1.510030211756752,0
181,1.511953032731364,0
182,1.511953032731364,0
183,1.512165092036261,0
184,1.512165092036261,0
185,1.516658930193586,0
186,1.51752055053236,0
187,1.518636952890149,0
188,1.518636952890149,0
189,1.519045526861006,0
190,1.519196086329423,0
191,1.521772521745361,0
192,1.524904705073082,0
193,1.527568547175951,0
194,1.530397786799054,0
195,1.533134402387409,0
196,1.536237961350517,0
197,1.540017489767202,0
198,1.541666584791767,0
199,1.541666584791767,0
200,1.541666584791767,0
201,1.54245778952419,0
202,1.543289101010242,0
203,1.548482015380109,0
204,1.549067091080418,0
205,1.55055759481477,0
206,1.550700228647608,0
207,1.552996410491659,0
208,1.552996410491659,0
209,1.552996410491659,0
210,1.553688051303694,0
211,1.55737461277028,0
212,1.558213238848981,0
213,1.558213238848981,0
214,1.558213238848981,0
215,1.558213238848981,0
216,1.558213238848981,0
217,1.558623783891658,0
218,1.559188027592915,0
219,1.559188027592915,0
220,1.559188027592915,0
221,1.559529729017706,0
222,1.560997155446008,0
223,1.56252400265716,0
224,1.56252400265716,0
225,1.56252400265716,0
226,1.562578685704646,0
227,1.562578685704646,0
228,1.563440996137872,0
229,1.564697730495986,0
230,1.564697730495986,0
231,1.564697730495986,0
232,1.564697730495986,0
233,1.567835685080538,0
234,1.568724945710428,0
235,1.568724945710428,0
236,1.568724945710428,0
237,1.571878340898333,0
238,1.572273464199495,0
239,1.573494747093696,0
240,1.573934973166767,0
241,1.575456180581632,0
242,1.576209608672507,0
243,1.576209608672507,0
244,1.576735062526568,0
245,1.578052481592604,0
246,1.57994441005766,0
247,1.580823010443836,0
248,1.581899565145098,0
249,1.58250303091923,0
250,1.58583262177808,0
251,1.58648453761147,0
252,1.58648453761147,0
253,1.58648453761147,0
254,1.590278192243645,0
255,1.590430585744483,0
256,1.590695915406592,0
257,1.590939407752496,0
258,1.591983958759822,0
259,1.592021909381304,0
260,1.592021909381304,0
261,1.592021909381304,0
262,1.592021909381304,0
263,1.592392631328234,0
264,1.582780804138538,0
265,1.582780804138538,0
266,1.582780804138538,0
267,1.582780804138538,0
268,1.594520671285544,0
269,1.595195399919058,0
270,1.595518606279398,0
271,1.595518606279398,0
272,1.595957171865327,0
273,1.597081267580389,0
274,1.599011132341046,0
275,1.59970902090774,0
276,1.602391498509249,0
277,1.60407690193835,0
278,1.604743167823147,0
279,1.605800699499856,0
280,1.607088638032622,0
281,1.607198404557066,0
282,1.609181984593322,0
283,1.610117190837154,0
284,1.610117190837154,0
285,1.610117190837154,0
286,1.610117190837154,0
287,1.610595346491984,0
288,1.614920104921674,0
289,1.615009542714348,0
290,1.615009542714348,0
291,1.615009542714348,0
292,1.616699671271626,0
293,1.617597942957184,0
294,1.61760294016146,0
295,1.619319883494325,0
296,1.619344835535318,0
297,1.619654847103422,0
298,1.619654847103422,0
299,1.619983241988402,0
300,1.621697965816694,0
301,1.62320789460938,0
302,1.624028212144738,0
303,1.624028212144738,0
304,1.628535173448055,0
305,1.628535173448055,0
306,1.628535173448055,0
307,1.631473304505351,0
308,1.631719510849401,0
