n_cluster,silhouette_score
2,0.11776553248716055
3,0.096845954303204
4,0.09107645515303123
5,0.09189781296144575
6,0.06790473606310851
7,0.03240532432645659
8,0.04731171838782789
9,0.05537732737678679
10,0.06537429423492545
