Actual Sepsis Rate	Estimated Sepsis Rate	Counts	Label	Predictions
0.0	0.1	1	Protein	0.05977962706537504
0.0	0.3	8	Protein	0.2404534456651375
0.65	0.4	20	Protein	0.3307903549650188
0.5357142857142857	0.5	28	Protein	0.4211272642649
0.5957446808510638	0.6	47	Protein	0.5114641735647811
0.6071428571428571	0.7	56	Protein	0.6018010828646625
0.7096774193548387	0.8	62	Protein	0.6921379921645439
0.7352941176470589	0.9	34	Protein	0.782474901464425
0.75	1.0	8	Protein	0.8728118107643061
0.0	0.2	1	Protein	0.1501165363652563
0.14285714285714285	0.3	7	Protein	0.2404534456651375
0.4666666666666667	0.4	15	Protein	0.3307903549650188
0.5217391304347826	0.5	23	Protein	0.4211272642649
0.5263157894736842	0.6	38	Protein	0.5114641735647811
0.6206896551724138	0.7	58	Protein	0.6018010828646625
0.7123287671232876	0.8	73	Protein	0.6921379921645439
0.7560975609756098	0.9	41	Protein	0.782474901464425
0.75	1.0	8	Protein	0.8728118107643061
0.0	0.2	1	Protein	0.1501165363652563
0.0	0.3	8	Protein	0.2404534456651375
0.5	0.4	12	Protein	0.3307903549650188
0.6551724137931034	0.5	29	Protein	0.4211272642649
0.5789473684210527	0.6	38	Protein	0.5114641735647811
0.5901639344262295	0.7	61	Protein	0.6018010828646625
0.6666666666666666	0.8	66	Protein	0.6921379921645439
0.7674418604651163	0.9	43	Protein	0.782474901464425
0.8333333333333334	1.0	6	Protein	0.8728118107643061
0.0	0.2	2	Protein	0.1501165363652563
0.36363636363636365	0.3	11	Protein	0.2404534456651375
0.625	0.4	8	Protein	0.3307903549650188
0.40625	0.5	32	Protein	0.4211272642649
0.6857142857142857	0.6	35	Protein	0.5114641735647811
0.603448275862069	0.7	58	Protein	0.6018010828646625
0.7301587301587301	0.8	63	Protein	0.6921379921645439
0.6744186046511628	0.9	43	Protein	0.782474901464425
0.75	1.0	12	Protein	0.8728118107643061
0.0	0.2	1	Protein	0.1501165363652563
0.125	0.3	8	Protein	0.2404534456651375
0.4375	0.4	16	Protein	0.3307903549650188
0.5185185185185185	0.5	27	Protein	0.4211272642649
0.7027027027027027	0.6	37	Protein	0.5114641735647811
0.6065573770491803	0.7	61	Protein	0.6018010828646625
0.703125	0.8	64	Protein	0.6921379921645439
0.6585365853658537	0.9	41	Protein	0.782474901464425
0.8888888888888888	1.0	9	Protein	0.8728118107643061
0.0	0.1	1	Protein	0.05977962706537504
0.1111111111111111	0.3	9	Protein	0.2404534456651375
0.4375	0.4	16	Protein	0.3307903549650188
0.5769230769230769	0.5	26	Protein	0.4211272642649
0.6060606060606061	0.6	33	Protein	0.5114641735647811
0.6065573770491803	0.7	61	Protein	0.6018010828646625
0.6964285714285714	0.8	56	Protein	0.6921379921645439
0.7291666666666666	0.9	48	Protein	0.782474901464425
0.7857142857142857	1.0	14	Protein	0.8728118107643061
0.0	0.1	1	Protein	0.05977962706537504
0.09090909090909091	0.3	11	Protein	0.2404534456651375
0.6153846153846154	0.4	13	Protein	0.3307903549650188
0.5555555555555556	0.5	27	Protein	0.4211272642649
0.625	0.6	40	Protein	0.5114641735647811
0.6037735849056604	0.7	53	Protein	0.6018010828646625
0.6666666666666666	0.8	72	Protein	0.6921379921645439
0.8333333333333334	0.9	36	Protein	0.782474901464425
0.5454545454545454	1.0	11	Protein	0.8728118107643061
0.0	0.1	1	Protein	0.05977962706537504
0.0	0.2	2	Protein	0.1501165363652563
0.0	0.3	4	Protein	0.2404534456651375
0.4666666666666667	0.4	15	Protein	0.3307903549650188
0.5333333333333333	0.5	30	Protein	0.4211272642649
0.625	0.6	40	Protein	0.5114641735647811
0.5192307692307693	0.7	52	Protein	0.6018010828646625
0.7323943661971831	0.8	71	Protein	0.6921379921645439
0.775	0.9	40	Protein	0.782474901464425
0.7777777777777778	1.0	9	Protein	0.8728118107643061
0.0	0.2	1	Protein	0.1501165363652563
0.16666666666666666	0.3	6	Protein	0.2404534456651375
0.3333333333333333	0.4	12	Protein	0.3307903549650188
0.6206896551724138	0.5	29	Protein	0.4211272642649
0.5714285714285714	0.6	42	Protein	0.5114641735647811
0.6349206349206349	0.7	63	Protein	0.6018010828646625
0.6507936507936508	0.8	63	Protein	0.6921379921645439
0.7567567567567568	0.9	37	Protein	0.782474901464425
0.8181818181818182	1.0	11	Protein	0.8728118107643061
0.0	0.2	1	Protein	0.1501165363652563
0.2222222222222222	0.3	9	Protein	0.2404534456651375
0.3333333333333333	0.4	15	Protein	0.3307903549650188
0.5714285714285714	0.5	21	Protein	0.4211272642649
0.6170212765957447	0.6	47	Protein	0.5114641735647811
0.625	0.7	64	Protein	0.6018010828646625
0.7377049180327869	0.8	61	Protein	0.6921379921645439
0.6285714285714286	0.9	35	Protein	0.782474901464425
0.9090909090909091	1.0	11	Protein	0.8728118107643061
0.0	0.1	1	Protein	0.05977962706537504
0.0	0.2	3	Protein	0.1501165363652563
0.3	0.3	10	Protein	0.2404534456651375
0.45454545454545453	0.4	11	Protein	0.3307903549650188
0.48148148148148145	0.5	27	Protein	0.4211272642649
0.625	0.6	40	Protein	0.5114641735647811
0.5849056603773585	0.7	53	Protein	0.6018010828646625
0.7833333333333333	0.8	60	Protein	0.6921379921645439
0.6744186046511628	0.9	43	Protein	0.782474901464425
0.75	1.0	16	Protein	0.8728118107643061
0.0	0.3	5	Protein	0.2404534456651375
0.4	0.4	15	Protein	0.3307903549650188
0.4782608695652174	0.5	23	Protein	0.4211272642649
0.6086956521739131	0.6	46	Protein	0.5114641735647811
